age,limit,age_d,treat,visit
17.66666667,21,-3.33333333,0,3496.384281
17.75,21,-3.25,0,3456.984291
17.83333333,21,-3.16666667,0,3466.017798
17.91666667,21,-3.08333333,0,3492.631901
18,21,-3,0,3602.284782
18.08333333,21,-2.91666667,0,3856.960202
18.16666667,21,-2.83333333,0,3921.376058
18.25,21,-2.75,0,3962.235307
18.33333333,21,-2.66666667,0,4007.750286
18.41666667,21,-2.58333333,0,4036.796487
18.5,21,-2.5,0,4026.998606
18.58333333,21,-2.41666667,0,4113.789765
18.66666667,21,-2.33333333,0,4083.909702
18.75,21,-2.25,0,4140.890287
18.83333333,21,-2.16666667,0,4172.855005
18.91666667,21,-2.08333333,0,4191.130486
19,21,-2,0,4145.337552
19.08333333,21,-1.91666667,0,4103.158022
19.16666667,21,-1.83333333,0,4132.621153
19.25,21,-1.75,0,4148.25607
19.33333333,21,-1.66666667,0,4177.371759
19.41666667,21,-1.58333333,0,4174.105799
19.5,21,-1.5,0,4208.502615
19.58333333,21,-1.41666667,0,4264.09343
19.66666667,21,-1.33333333,0,4228.098377
19.75,21,-1.25,0,4228.376331
19.83333333,21,-1.16666667,0,4243.872271
19.91666667,21,-1.08333333,0,4236.367511
20,21,-1,0,4246.095903
20.08333333,21,-0.91666667,0,4297.656384
20.16666667,21,-0.83333333,0,4284.801008
20.25,21,-0.75,0,4293.556561
20.33333333,21,-0.66666667,0,4281.743513
20.41666667,21,-0.58333333,0,4327.189004
20.5,21,-0.5,0,4269.791488
20.58333333,21,-0.41666667,0,4306.27296
20.66666667,21,-0.33333333,0,4325.382303
20.75,21,-0.25,0,4288.831342
20.83333333,21,-0.16666667,0,4349.008399
20.91666667,21,-0.08333333,0,4313.291301
21,21,0,1,4433.506437
21.08333333,21,0.08333333,1,4398.970643
21.16666667,21,0.16666667,1,4389.72867
21.25,21,0.25,1,4369.507512
21.33333333,21,0.33333333,1,4388.686343
21.41666667,21,0.41666667,1,4386.601687
21.5,21,0.5,1,4347.827094
21.58333333,21,0.58333333,1,4362.697637
21.66666667,21,0.66666667,1,4352.065894
21.75,21,0.75,1,4380.486698
21.83333333,21,0.83333333,1,4385.350894
21.91666667,21,0.91666667,1,4370.06342
22,21,1,1,4359.223211
22.08333333,21,1.08333333,1,4365.060247
22.16666667,21,1.16666667,1,4344.213691
22.25,21,1.25,1,4344.213691
22.33333333,21,1.33333333,1,4312.596415
22.41666667,21,1.41666667,1,4307.106822
22.5,21,1.5,1,4303.632396
22.58333333,21,1.58333333,1,4308.983012
22.66666667,21,1.66666667,1,4327.814401
22.75,21,1.75,1,4308.983012
22.83333333,21,1.83333333,1,4304.188305
22.91666667,21,1.91666667,1,4319.058848
23,21,2,1,4291.332929
23.08333333,21,2.08333333,1,4293.695538
23.16666667,21,2.16666667,1,4249.778795
23.25,21,2.25,1,4230.044056
23.33333333,21,2.33333333,1,4201.136832
23.41666667,21,2.41666667,1,4215.451467
23.5,21,2.5,1,4218.786916
23.58333333,21,2.58333333,1,4258.256394
23.66666667,21,2.66666667,1,4259.785142
23.75,21,2.75,1,4245.748461
23.83333333,21,2.83333333,1,4207.32131
23.91666667,21,2.91666667,1,4217.049703
24,21,3,1,4268.679672
24.08333333,21,3.08333333,1,4235.255695
24.16666667,21,3.16666667,1,4236.020068
24.25,21,3.25,1,4220.593617
